H0002	Version	4															
D	24PMD0002	776.22	776.23	irreg	vn	3		20	305		Vein	Vein	zsp	zsa			qz-cb veinlet with same alfa and beta as the bed
D	24PMD0002	778.19	778.2	plan	bed	3		25	300		Sediment	Interbedding	zsc	zsc			
D	24PMD0002	786.55	786.56	plan	bed	3		30	305		Sediment	Interbedding	zsa	zsp			close interbedded
D	24PMD0002	788.46	788.47	irreg	cont	3		20	305		Sediment	Interbedding	zsc	zsa			cont between zsc-zsa similar to like bed
D	24PMD0002	792.37	792.38	diff	cont	3		25	302		Sediment	Interbedding	zsc	zsc			interbedding in the limestone unit
D	24PMD0002	795.73	795.74	sharp	cont	3		17	312		Sediment	Interbedding	zsc	zsa			bedding and contact similar orientations 
D	24PMD0002	796.39	796.4	sharp	vn	3		70	92		Vein	Vein	zsa	zsa			0.5cm thick qtz cb vein with chl infill. 
D	24PMD0002	799.11	799.12	sharp	vn	3		60	238		Vein	Vein	zsa	zsa			a set of hairline cb veinlets in carbonate + calc silicate altered metasediment
D	24PMD0002	801.28	801.29	irreg	cont	3		20	312		Sediment	Interbedding	zsc	zsa			irregular very steep pocket of limestone 
D	24PMD0002	804.51	804.52	sharp	cont	3		30	312		Sediment	Interbedding	zsc	zsa			thin pocket of interbedded zsc bed/contact (same orientation)
D	24PMD0002	805.75	805.76	planS	jnt	3		57	170		Sediment	Interbedding	zsa	zsa			natural joint fracture in a unaltered metasediment
D	24PMD0002	810.58	810.59	sharp	vn	3		38	150		Vein	Vein	zsa	zsa			calcium carbonate overprinting alteration and a chlorite salvage veinlet non min$
D	24PMD0002	811.08	811.09	irreg	cont	3		25	120		Sediment	Interbedding	zsa	zsc			chaotic breccia top contact. Calcite vein is brecciated and folded
D	24PMD0002	812.53	812.54	smo	cont	3		30	130		Sediment	Interbedding	zsa	zsa			
D	24PMD0002	815.95	815.96	diff	lin	3		17	300		Sediment	Interbedding	zsc	zsc			fine lineation in a fine grained limestone
D	24PMD0002	816.45	816.46	diff	bed	3		50	105		Sediment	Interbedding	zsc	zsa			bedding orientation changes in that interbedded sequence 
D	24PMD0002	819.37	819.38	irreg	cont	3		55	270		Sediment	Interbedding	zsa	zsc			pockets of interbedded zsc with psammite 
D	24PMD0002	821.23	821.24	irreg	vn	3		50	145		Vein	Vein	zsc	zsc			qtz cb cpx veinlet
D	24PMD0002	822.17	822.18	sharp	bed	3		25	298		Sediment	Interbedding	zsa	zsa			
D	24PMD0002	822.77	822.78	sharp	cont	3		20	295		Sediment	Interbedding	zsa	zsc			thin bed of Pelite with different alteration (~3cm thick) contact
D	24PMD0002	823.56	823.57	diff	bed	3		25	305		Sediment	Interbedding	zsa	zsa			
D	24PMD0002	828.51	828.52	plan	fr	3		65	102		Sediment	Interbedding	zsc	zsc			common fracture orientation 
